run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
baseline,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2195,523,23,523,44,0,0,1,0,
baseline,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2208,1513,20,1513,139,0,0,0,0,
baseline,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2346,719,39,719,64,0,0,1,0,
baseline,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2469,5317,31,5317,514,0,0,0,0,
baseline,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2281,929,53,929,79,0,0,1,0,
baseline,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2260,1008,53,1008,110,0,0,1,0,
baseline,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2942,4780,14,4780,414,0,0,0,0,
baseline,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2537,4631,50,4631,316,0,0,0,0,
baseline,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2911,4591,17,4591,1738,0,0,2,0,
baseline,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2597,4415,28,4415,301,0,0,0,0,
baseline,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2941,4769,14,4769,424,0,0,0,0,
baseline,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2562,3708,7,3708,294,0,0,0,0,
baseline,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2961,4979,14,4979,436,0,0,0,0,
baseline,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2356,4170,57,4170,310,0,0,0,0,
baseline,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2836,4332,14,4332,1641,0,0,1,0,
baseline,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2835,6091,7,6091,310,0,0,0,0,
baseline,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2763,4071,14,4071,1539,0,0,2,0,
baseline,AGT/AGT037^1.p,TH0,Theorem,timeout,na,3007,5216,14,5216,402,0,0,0,0,
baseline,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2558,3696,7,3696,289,0,0,0,0,
baseline,AGT/AGT038^1.p,TH0,Theorem,timeout,na,3090,5952,14,5952,423,0,0,0,0,
baseline,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2906,4622,14,4622,415,0,0,0,0,
baseline,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2825,4154,14,4154,386,0,0,0,0,
baseline,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2919,4703,14,4704,430,0,0,0,0,
baseline,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2053,1630,53,1630,174,15,0,1,0,
baseline,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2857,0,0,0,1,0,0,0,0,
baseline,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6425,0,0,0,1,0,0,0,0,
baseline,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4073,0,0,0,1,0,0,0,0,
baseline,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2895,0,0,0,1,0,0,0,0,
baseline,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2151,573,38,573,36,0,0,0,0,
baseline,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2371,0,0,0,1,0,0,0,0,
baseline,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3224,0,0,0,1,0,0,0,0,
baseline,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3229,0,0,0,1,0,0,0,0,
baseline,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,883,,,,,,,,,
baseline,ALG/ALG247^2.p,TH0,Theorem,thm,yes,390,23,1,23,3,1,0,1,1,
baseline,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2395,1058,25,1058,264,64,0,1,0,
baseline,ALG/ALG248^2.p,TH0,CounterSatisfiable,timeout,na,2338,2185,119,2185,203,63,0,2,0,
baseline,ALG/ALG248^3.p,TH0,Theorem,timeout,na,2328,2748,115,2748,228,5,0,1,0,
baseline,ALG/ALG249^3.p,TH0,Theorem,timeout,na,2344,2725,93,2725,285,66,0,4,0,
baseline,ALG/ALG250^3.p,TH0,Theorem,thm,yes,312,41,1,41,5,3,0,1,1,
baseline,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2286,675,36,675,68,0,0,2,0,
baseline,ALG/ALG251^2.p,TH0,Theorem,timeout,na,2304,1733,120,1733,43,44,0,2,0,
baseline,ALG/ALG251^3.p,TH0,Theorem,timeout,na,2329,1322,49,1322,200,24,0,2,0,
baseline,ALG/ALG252^1.p,TH0,Theorem,timeout,na,2280,443,21,443,40,0,0,1,0,
baseline,ALG/ALG252^2.p,TH0,Theorem,timeout,na,2288,1396,102,1396,54,12,0,2,0,
baseline,ALG/ALG253^1.p,TH0,Theorem,timeout,na,2265,228,13,228,15,0,0,2,0,
baseline,ALG/ALG253^2.p,TH0,Theorem,timeout,na,2284,1206,63,1206,75,20,0,1,0,
baseline,ALG/ALG254^1.p,TH0,Theorem,thm,yes,476,2,0,2,1,1,0,0,0,
baseline,ALG/ALG254^2.p,TH0,Theorem,thm,yes,260,2,0,2,1,1,0,0,0,
baseline,ALG/ALG255^1.p,TH0,Theorem,thm,yes,559,2,0,2,1,1,0,0,0,
baseline,ALG/ALG256^1.p,TH0,Theorem,timeout,na,2255,21,2,21,1,0,0,0,0,
baseline,ALG/ALG256^2.p,TH0,Theorem,timeout,na,2333,2497,95,2497,309,21,0,1,0,
baseline,ALG/ALG257^1.p,TH0,Theorem,timeout,na,2257,18,1,18,1,0,0,0,0,
baseline,ALG/ALG257^2.p,TH0,Theorem,timeout,na,2343,2748,130,2748,265,34,0,2,0,
baseline,ALG/ALG258^1.p,TH0,Theorem,timeout,na,2259,17,1,17,1,0,0,0,0,
baseline,ALG/ALG258^2.p,TH0,Theorem,timeout,na,2318,2538,133,2538,171,38,0,1,0,
baseline,ALG/ALG259^1.p,TH0,Theorem,timeout,na,2263,13,1,13,1,0,0,0,0,
