run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
eager_unfold_defs,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2134,640,27,640,69,0,0,1,0,
eager_unfold_defs,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2143,1132,28,1132,142,0,0,0,0,
eager_unfold_defs,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2259,737,40,737,72,0,0,1,0,
eager_unfold_defs,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2357,3824,19,3824,408,0,0,0,0,
eager_unfold_defs,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2238,738,39,738,70,0,0,1,0,
eager_unfold_defs,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2277,867,44,867,106,0,0,0,0,
eager_unfold_defs,AGT/AGT031^1.p,TH0,Theorem,timeout,na,3029,5805,10,5805,241,0,0,0,0,
eager_unfold_defs,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2286,3896,69,3896,318,0,0,0,0,
eager_unfold_defs,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2759,4139,11,4139,1542,0,0,4,0,
eager_unfold_defs,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2296,3892,69,3892,819,0,0,4,0,
eager_unfold_defs,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2706,3812,10,3812,219,0,0,0,0,
eager_unfold_defs,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2365,3987,65,3987,334,0,0,0,0,
eager_unfold_defs,AGT/AGT034^1.p,TH0,Theorem,timeout,na,3005,5787,10,5787,238,0,0,0,0,
eager_unfold_defs,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2531,3719,5,3719,274,0,0,0,0,
eager_unfold_defs,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2728,3944,10,3944,1512,0,0,4,0,
eager_unfold_defs,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2406,3857,20,3857,299,0,0,0,0,
eager_unfold_defs,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2796,4365,10,4365,1679,0,0,2,0,
eager_unfold_defs,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2863,4894,10,4894,206,0,0,0,0,
eager_unfold_defs,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2299,3843,64,3843,302,0,0,0,0,
eager_unfold_defs,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2768,4131,10,4132,235,0,0,0,0,
eager_unfold_defs,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2978,5786,10,5786,220,0,0,0,0,
eager_unfold_defs,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2840,4794,10,4794,237,0,0,0,0,
eager_unfold_defs,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2773,4382,10,4382,230,0,0,0,0,
eager_unfold_defs,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2041,1402,53,1402,138,7,0,2,0,
eager_unfold_defs,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2875,0,0,0,1,0,0,0,0,
eager_unfold_defs,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6810,0,0,0,1,0,0,0,0,
eager_unfold_defs,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4125,0,0,0,1,0,0,0,0,
eager_unfold_defs,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2888,0,0,0,1,0,0,0,0,
