run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
gamma_limit_5,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2148,478,20,478,42,0,0,1,0,
gamma_limit_5,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2152,1264,20,1264,132,0,0,0,0,
gamma_limit_5,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2248,776,44,776,71,0,0,1,0,
gamma_limit_5,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2384,4144,22,4144,389,0,0,0,0,
gamma_limit_5,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2240,774,44,774,65,0,0,1,0,
gamma_limit_5,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2282,935,50,935,106,0,0,0,0,
gamma_limit_5,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2726,3332,14,3332,371,0,0,0,0,
gamma_limit_5,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2646,3940,7,3940,282,0,0,0,0,
gamma_limit_5,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2702,3253,18,3253,1175,0,0,4,0,
gamma_limit_5,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2609,3849,7,3849,1832,0,0,2,0,
gamma_limit_5,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2751,3609,14,3609,380,0,0,0,0,
gamma_limit_5,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2358,4055,56,4055,300,0,0,0,0,
gamma_limit_5,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2816,4155,14,4155,370,0,0,0,0,
gamma_limit_5,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2565,3703,7,3703,273,0,0,0,0,
gamma_limit_5,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2928,4868,14,4868,400,0,0,0,0,
gamma_limit_5,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2338,4007,60,4007,977,0,0,4,0,
gamma_limit_5,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2810,4102,14,4102,1559,0,0,2,0,
gamma_limit_5,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2891,4555,14,4556,382,0,0,0,0,
gamma_limit_5,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2310,3710,66,3710,294,0,0,0,0,
gamma_limit_5,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2868,4462,14,4462,375,0,0,0,0,
gamma_limit_5,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2785,3893,14,3893,357,0,0,0,0,
gamma_limit_5,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2891,4535,14,4535,401,0,0,0,0,
gamma_limit_5,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2820,4044,14,4044,311,0,0,0,0,
gamma_limit_5,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2075,1429,47,1429,159,27,0,2,0,
gamma_limit_5,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2881,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6852,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4115,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2903,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2155,484,32,484,31,0,0,0,0,
gamma_limit_5,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2386,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3237,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3246,0,0,0,1,0,0,0,0,
gamma_limit_5,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,897,,,,,,,,,
gamma_limit_5,ALG/ALG247^2.p,TH0,Theorem,thm,yes,432,39,0,39,4,1,0,1,1,
gamma_limit_5,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2364,954,14,954,252,59,0,1,0,
gamma_limit_5,ALG/ALG248^2.p,TH0,CounterSatisfiable,timeout,na,2344,1660,53,1660,211,32,0,1,0,
gamma_limit_5,ALG/ALG248^3.p,TH0,Theorem,timeout,na,2347,2481,132,2481,118,49,0,0,0,
gamma_limit_5,ALG/ALG249^3.p,TH0,Theorem,timeout,na,2342,3713,283,3713,166,56,0,4,0,
gamma_limit_5,ALG/ALG250^3.p,TH0,Theorem,thm,yes,308,41,1,41,5,2,0,1,1,
gamma_limit_5,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2297,591,33,591,89,0,0,1,0,
gamma_limit_5,ALG/ALG251^2.p,TH0,Theorem,timeout,na,2284,1477,116,1477,41,18,0,2,0,
gamma_limit_5,ALG/ALG251^3.p,TH0,Theorem,timeout,na,2351,1660,35,1660,356,57,0,2,0,
gamma_limit_5,ALG/ALG252^1.p,TH0,Theorem,timeout,na,2278,390,19,390,31,0,0,2,0,
gamma_limit_5,ALG/ALG252^2.p,TH0,Theorem,timeout,na,2290,1226,93,1226,53,0,0,2,0,
gamma_limit_5,ALG/ALG253^1.p,TH0,Theorem,timeout,na,2264,134,8,134,7,0,0,1,0,
gamma_limit_5,ALG/ALG253^2.p,TH0,Theorem,timeout,na,2289,1086,58,1086,72,23,0,1,0,
gamma_limit_5,ALG/ALG254^1.p,TH0,Theorem,thm,yes,482,2,0,2,1,1,0,0,0,
gamma_limit_5,ALG/ALG254^2.p,TH0,Theorem,thm,yes,262,2,0,2,1,1,0,0,0,
gamma_limit_5,ALG/ALG255^1.p,TH0,Theorem,thm,yes,559,2,0,2,1,1,0,0,0,
gamma_limit_5,ALG/ALG256^1.p,TH0,Theorem,timeout,na,2260,20,2,20,1,0,0,0,0,
gamma_limit_5,ALG/ALG256^2.p,TH0,Theorem,timeout,na,2374,3512,87,3512,206,123,0,0,0,
gamma_limit_5,ALG/ALG257^1.p,TH0,Theorem,timeout,na,2254,17,1,17,1,0,0,0,0,
gamma_limit_5,ALG/ALG257^2.p,TH0,Theorem,timeout,na,2441,4106,43,4106,411,29,0,0,0,
gamma_limit_5,ALG/ALG258^1.p,TH0,Theorem,timeout,na,2253,17,1,17,1,0,0,0,0,
gamma_limit_5,ALG/ALG258^2.p,TH0,Theorem,timeout,na,2400,5110,349,5110,366,0,0,0,0,
gamma_limit_5,ALG/ALG259^1.p,TH0,Theorem,timeout,na,2257,13,1,13,1,0,0,0,0,
gamma_limit_5,ALG/ALG259^2.p,TH0,Theorem,timeout,na,2322,2106,59,2106,212,3,0,4,0,
gamma_limit_5,ALG/ALG260^1.p,TH0,Theorem,timeout,na,2267,10,1,10,1,0,0,0,0,
gamma_limit_5,ALG/ALG260^2.p,TH0,Theorem,thm,yes,872,378,34,378,4,3,0,2,1,
gamma_limit_5,ALG/ALG261^1.p,TH0,Theorem,timeout,na,2266,11,1,11,1,0,0,0,0,
gamma_limit_5,ALG/ALG261^2.p,TH0,Theorem,timeout,na,2312,2272,169,2272,87,1,0,1,0,
gamma_limit_5,ALG/ALG262^2.p,TH0,Theorem,thm,yes,368,35,0,35,4,1,0,1,1,
gamma_limit_5,ALG/ALG263^1.p,TH0,Theorem,timeout,na,2269,14,1,14,1,0,0,0,0,
gamma_limit_5,ALG/ALG263^3.p,TH0,Theorem,timeout,na,2263,11,1,11,1,0,0,0,0,
gamma_limit_5,ALG/ALG264^1.p,TH0,Theorem,timeout,na,2262,14,1,14,1,0,0,0,0,
gamma_limit_5,ALG/ALG264^3.p,TH0,Theorem,timeout,na,2260,11,1,11,1,0,0,0,0,
gamma_limit_5,ALG/ALG265^2.p,TH0,Theorem,timeout,na,2324,1089,13,1089,219,14,0,0,0,
gamma_limit_5,ALG/ALG266^1.p,TH0,Theorem,timeout,na,2265,7,0,7,1,0,0,0,0,
gamma_limit_5,ALG/ALG266^2.p,TH0,Theorem,timeout,na,2285,334,7,334,52,0,0,1,0,
gamma_limit_5,ALG/ALG267^1.p,TH0,Theorem,timeout,na,2269,5,0,5,1,0,0,0,0,
gamma_limit_5,ALG/ALG267^2.p,TH0,Theorem,thm,yes,289,23,1,23,3,2,0,1,1,
gamma_limit_5,ALG/ALG268^1.p,TH0,Theorem,timeout,na,2265,7,0,7,1,0,0,0,0,
gamma_limit_5,ALG/ALG268^2.p,TH0,Theorem,timeout,na,2285,464,16,464,57,0,0,0,0,
gamma_limit_5,ALG/ALG268^3.p,TH0,Theorem,timeout,na,2354,1842,50,1842,173,78,0,0,0,
gamma_limit_5,ALG/ALG268^4.p,TH0,Theorem,thm,yes,526,43,2,43,4,1,0,1,1,
gamma_limit_5,ALG/ALG268^5.p,TH0,Theorem,timeout,na,2269,9,0,9,1,0,0,0,0,
gamma_limit_5,ALG/ALG268^6.p,TH0,Theorem,timeout,na,2360,1409,14,1409,161,86,0,0,0,
gamma_limit_5,ALG/ALG269^1.p,TH0,Theorem,timeout,na,2265,7,0,7,1,0,0,0,0,
