run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_atom_decomposition,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2136,604,25,604,63,0,0,1,0,
no_atom_decomposition,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2111,653,31,653,71,0,0,0,0,
no_atom_decomposition,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2277,753,42,753,68,0,0,1,0,
no_atom_decomposition,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2384,4054,31,4054,390,0,0,0,0,
no_atom_decomposition,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2249,783,46,783,69,0,0,1,0,
no_atom_decomposition,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2285,846,41,846,101,0,0,0,0,
no_atom_decomposition,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2843,4071,14,4071,373,0,0,0,0,
no_atom_decomposition,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2425,3947,38,3947,292,0,0,0,0,
no_atom_decomposition,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2712,3356,17,3356,1234,0,0,2,0,
no_atom_decomposition,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2471,2937,7,2937,1336,0,0,4,0,
no_atom_decomposition,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2956,4751,14,4751,422,0,0,0,0,
no_atom_decomposition,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2419,3850,38,3850,336,0,0,0,0,
no_atom_decomposition,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2740,3491,14,3491,333,0,0,0,0,
no_atom_decomposition,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2368,3665,59,3665,310,0,0,0,0,
no_atom_decomposition,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2829,4176,14,4176,1589,0,0,3,0,
no_atom_decomposition,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2452,3705,19,3705,1394,0,0,4,0,
no_atom_decomposition,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2766,3741,14,3741,1413,0,0,2,0,
no_atom_decomposition,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2800,4151,14,4151,329,0,0,0,0,
no_atom_decomposition,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2374,3183,24,3183,280,0,0,0,0,
no_atom_decomposition,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2941,4707,14,4707,375,0,0,0,0,
no_atom_decomposition,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2791,3972,14,3972,371,0,0,0,0,
no_atom_decomposition,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2785,4080,14,4080,338,0,0,0,0,
no_atom_decomposition,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2777,3861,14,3861,345,0,0,0,0,
no_atom_decomposition,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2052,1418,32,1418,179,14,0,2,0,
no_atom_decomposition,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2889,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6916,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4142,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2893,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2154,492,32,492,29,0,0,0,0,
no_atom_decomposition,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2408,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3256,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3244,0,0,0,1,0,0,0,0,
no_atom_decomposition,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,888,,,,,,,,,
no_atom_decomposition,ALG/ALG247^2.p,TH0,Theorem,thm,yes,422,23,0,23,3,1,0,1,1,
no_atom_decomposition,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2360,838,23,838,282,0,0,1,0,
no_atom_decomposition,ALG/ALG248^2.p,TH0,CounterSatisfiable,timeout,na,2301,1321,64,1321,132,9,0,2,0,
no_atom_decomposition,ALG/ALG248^3.p,TH0,Theorem,timeout,na,2316,2313,133,2313,148,12,0,1,0,
no_atom_decomposition,ALG/ALG249^3.p,TH0,Theorem,timeout,na,2327,2219,96,2219,201,26,0,5,0,
no_atom_decomposition,ALG/ALG250^3.p,TH0,Theorem,thm,yes,317,41,1,41,5,3,0,1,1,
no_atom_decomposition,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2284,564,32,564,40,0,0,2,0,
