run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_beta_variant,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2143,555,23,555,59,0,0,1,0,
no_beta_variant,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2136,886,22,886,245,0,0,1,0,
no_beta_variant,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2252,687,39,687,68,0,0,1,0,
no_beta_variant,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2668,3803,8,3803,444,0,0,0,0,
no_beta_variant,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2260,738,43,738,72,0,0,1,0,
no_beta_variant,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2284,818,44,818,105,0,0,0,0,
no_beta_variant,AGT/AGT031^1.p,TH0,Theorem,timeout,na,3187,5192,14,5192,409,0,0,0,0,
no_beta_variant,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2716,4079,7,4079,386,0,0,0,0,
no_beta_variant,AGT/AGT032^1.p,TH0,Theorem,timeout,na,3054,4512,14,4512,2139,0,0,1,0,
no_beta_variant,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2717,4520,7,4520,394,0,0,0,0,
no_beta_variant,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2898,3816,14,3816,403,0,0,0,0,
no_beta_variant,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2664,3567,7,3567,397,0,0,0,0,
no_beta_variant,AGT/AGT034^1.p,TH0,Theorem,timeout,na,3104,5081,14,5081,238,0,0,0,0,
no_beta_variant,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2691,3377,7,3377,326,0,0,0,0,
no_beta_variant,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2933,3963,14,3963,1877,0,0,4,0,
no_beta_variant,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2685,3507,7,3507,2111,0,0,1,0,
no_beta_variant,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2875,3702,14,3702,1747,0,0,2,0,
no_beta_variant,AGT/AGT037^1.p,TH0,Theorem,timeout,na,3031,4435,14,4435,416,0,0,0,0,
no_beta_variant,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2689,3341,7,3341,363,0,0,0,0,
no_beta_variant,AGT/AGT038^1.p,TH0,Theorem,timeout,na,3105,4897,14,4897,379,0,0,0,0,
no_beta_variant,AGT/AGT039^1.p,TH0,Theorem,timeout,na,3111,4841,14,4841,387,0,0,0,0,
no_beta_variant,AGT/AGT040^1.p,TH0,Theorem,timeout,na,3110,4799,14,4799,431,0,0,0,0,
no_beta_variant,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2966,4215,14,4215,329,0,0,0,0,
no_beta_variant,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2058,1360,41,1360,174,6,0,2,0,
no_beta_variant,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2883,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6952,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4149,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2903,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2217,567,9,567,164,0,0,0,0,
no_beta_variant,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2388,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3271,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3286,0,0,0,1,0,0,0,0,
no_beta_variant,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,891,,,,,,,,,
no_beta_variant,ALG/ALG247^2.p,TH0,Theorem,thm,yes,411,15,0,15,2,0,0,1,1,
no_beta_variant,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2394,818,7,818,172,64,0,0,0,
no_beta_variant,ALG/ALG248^2.p,TH0,CounterSatisfiable,timeout,na,2328,1743,39,1743,122,23,0,0,0,
no_beta_variant,ALG/ALG248^3.p,TH0,Theorem,timeout,na,2332,2372,66,2372,256,3,0,1,0,
no_beta_variant,ALG/ALG249^3.p,TH0,Theorem,timeout,na,2319,1928,78,1928,206,7,0,4,0,
no_beta_variant,ALG/ALG250^3.p,TH0,Theorem,thm,yes,311,40,1,40,5,2,0,1,1,
no_beta_variant,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2426,909,13,909,147,19,0,0,0,
no_beta_variant,ALG/ALG251^2.p,TH0,Theorem,timeout,na,2292,1628,120,1628,60,35,0,1,0,
no_beta_variant,ALG/ALG251^3.p,TH0,Theorem,timeout,na,2306,1550,88,1550,132,30,0,1,0,
no_beta_variant,ALG/ALG252^1.p,TH0,Theorem,timeout,na,2283,314,15,314,34,0,0,1,0,
no_beta_variant,ALG/ALG252^2.p,TH0,Theorem,timeout,na,2313,1314,67,1314,94,22,0,0,0,
no_beta_variant,ALG/ALG253^1.p,TH0,Theorem,timeout,na,2267,160,8,160,16,0,0,0,0,
no_beta_variant,ALG/ALG253^2.p,TH0,Theorem,timeout,na,2303,1172,49,1172,158,6,0,0,0,
no_beta_variant,ALG/ALG254^1.p,TH0,Theorem,thm,yes,491,2,0,2,1,1,0,0,0,
no_beta_variant,ALG/ALG254^2.p,TH0,Theorem,thm,yes,264,2,0,2,1,1,0,0,0,
no_beta_variant,ALG/ALG255^1.p,TH0,Theorem,thm,yes,568,2,0,2,1,1,0,0,0,
no_beta_variant,ALG/ALG256^1.p,TH0,Theorem,timeout,na,2260,20,2,20,1,0,0,0,0,
no_beta_variant,ALG/ALG256^2.p,TH0,Theorem,timeout,na,2334,2420,102,2420,280,0,0,1,0,
no_beta_variant,ALG/ALG257^1.p,TH0,Theorem,timeout,na,2260,17,1,17,1,0,0,0,0,
no_beta_variant,ALG/ALG257^2.p,TH0,Theorem,timeout,na,2263,94,1,94,8,0,0,2,0,
no_beta_variant,ALG/ALG258^1.p,TH0,Theorem,timeout,na,2263,17,1,17,1,0,0,0,0,
no_beta_variant,ALG/ALG258^2.p,TH0,Theorem,timeout,na,2318,2165,111,2165,183,0,0,1,0,
no_beta_variant,ALG/ALG259^1.p,TH0,Theorem,timeout,na,2263,13,1,13,1,0,0,0,0,
no_beta_variant,ALG/ALG259^2.p,TH0,Theorem,timeout,na,2293,1649,105,1649,81,0,0,4,0,
no_beta_variant,ALG/ALG260^1.p,TH0,Theorem,timeout,na,2261,10,1,10,1,0,0,0,0,
no_beta_variant,ALG/ALG260^2.p,TH0,Theorem,thm,yes,591,244,18,244,6,2,0,2,1,
no_beta_variant,ALG/ALG261^1.p,TH0,Theorem,timeout,na,2267,6,0,6,1,0,0,0,0,
no_beta_variant,ALG/ALG261^2.p,TH0,Theorem,thm,yes,391,24,1,24,2,0,0,2,1,
no_beta_variant,ALG/ALG262^2.p,TH0,Theorem,thm,yes,365,26,1,26,3,0,0,1,1,
no_beta_variant,ALG/ALG263^1.p,TH0,Theorem,timeout,na,2268,14,1,14,1,0,0,0,0,
no_beta_variant,ALG/ALG263^3.p,TH0,Theorem,timeout,na,2263,11,1,11,1,0,0,0,0,
no_beta_variant,ALG/ALG264^1.p,TH0,Theorem,timeout,na,2263,14,1,14,1,0,0,0,0,
no_beta_variant,ALG/ALG264^3.p,TH0,Theorem,timeout,na,2262,11,1,11,1,0,0,0,0,
no_beta_variant,ALG/ALG265^2.p,TH0,Theorem,timeout,na,2306,1349,58,1349,168,12,0,1,0,
no_beta_variant,ALG/ALG266^1.p,TH0,Theorem,timeout,na,2259,7,0,7,1,0,0,0,0,
no_beta_variant,ALG/ALG266^2.p,TH0,Theorem,timeout,na,2279,424,14,424,48,6,0,1,0,
no_beta_variant,ALG/ALG267^1.p,TH0,Theorem,timeout,na,2268,5,0,5,1,0,0,0,0,
no_beta_variant,ALG/ALG267^2.p,TH0,Theorem,thm,yes,285,16,0,16,2,0,0,1,1,
no_beta_variant,ALG/ALG268^1.p,TH0,Theorem,timeout,na,2263,7,0,7,1,0,0,0,0,
no_beta_variant,ALG/ALG268^2.p,TH0,Theorem,timeout,na,2284,464,13,464,71,0,0,0,0,
no_beta_variant,ALG/ALG268^3.p,TH0,Theorem,timeout,na,2328,2144,117,2144,141,16,0,0,0,
no_beta_variant,ALG/ALG268^4.p,TH0,Theorem,thm,yes,484,26,1,26,3,0,0,1,1,
no_beta_variant,ALG/ALG268^5.p,TH0,Theorem,timeout,na,2267,9,0,9,1,0,0,0,0,
no_beta_variant,ALG/ALG268^6.p,TH0,Theorem,timeout,na,2299,1501,86,1501,100,28,0,0,0,
no_beta_variant,ALG/ALG269^1.p,TH0,Theorem,timeout,na,2265,7,0,7,1,0,0,0,0,
no_beta_variant,ALG/ALG269^2.p,TH0,Theorem,timeout,na,2281,398,9,398,66,0,0,0,0,
no_beta_variant,ALG/ALG269^3.p,TH0,Theorem,timeout,na,2288,813,55,813,48,0,0,1,0,
no_beta_variant,ALG/ALG269^4.p,TH0,CounterSatisfiable,timeout,na,2286,740,49,740,54,0,0,1,0,
no_beta_variant,ALG/ALG270^5.p,TH0,Theorem,timeout,na,2010,42,1,42,4,0,0,2,0,
no_beta_variant,ALG/ALG271^5.p,TH0,Theorem,timeout,na,2058,2875,153,2875,201,2,0,1,0,
no_beta_variant,ALG/ALG272^5.p,TH0,Theorem,timeout,na,2059,2732,148,2732,223,2,0,1,0,
no_beta_variant,ALG/ALG273^5.p,TH0,Theorem,timeout,na,2065,2575,133,2575,243,2,0,1,0,
no_beta_variant,ALG/ALG274^5.p,TH0,Theorem,timeout,na,2048,2450,137,2450,165,2,0,2,0,
no_beta_variant,ALG/ALG275^5.p,TH0,CounterSatisfiable,timeout,na,2061,2269,111,2269,219,0,0,1,0,
no_beta_variant,ALG/ALG276^5.p,TH0,Theorem,timeout,na,2071,2852,150,2852,259,2,0,1,0,
no_beta_variant,ALG/ALG277^5.p,TH0,Theorem,timeout,na,2064,2048,70,2048,246,0,0,2,0,
no_beta_variant,ALG/ALG278^5.p,TH0,Theorem,timeout,na,2055,2128,101,2128,197,0,0,2,0,
no_beta_variant,ALG/ALG279^5.p,TH0,Theorem,timeout,na,2066,2027,75,2027,245,0,0,2,0,
