run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_contradiction_agent,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2163,670,24,670,74,0,0,0,0,
no_contradiction_agent,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2151,1218,24,1218,287,0,0,0,0,
no_contradiction_agent,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2252,777,47,777,68,0,0,0,0,
no_contradiction_agent,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2403,4084,25,4084,969,0,0,0,0,
no_contradiction_agent,AGT/AGT029^1.p,TH0,Theorem,unk,na,742,120,12,120,1,0,0,0,0,
no_contradiction_agent,AGT/AGT030^1.p,TH0,Theorem,unk,na,1092,237,21,237,7,0,0,0,0,
no_contradiction_agent,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2926,4684,14,4684,1790,0,0,0,0,
no_contradiction_agent,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2287,3765,86,3765,702,0,0,0,0,
no_contradiction_agent,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2771,3618,17,3618,1339,0,0,0,0,
no_contradiction_agent,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2382,3250,28,3250,1098,0,0,0,0,
no_contradiction_agent,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2802,4045,14,4045,1525,0,0,0,0,
no_contradiction_agent,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2319,3276,43,3276,889,0,0,0,0,
no_contradiction_agent,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2735,3736,14,3736,1403,0,0,0,0,
no_contradiction_agent,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2330,4032,63,4032,952,0,0,0,0,
no_contradiction_agent,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2823,4058,14,4059,1539,0,0,0,0,
no_contradiction_agent,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2312,3622,41,3622,835,0,0,0,0,
no_contradiction_agent,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2817,4161,14,4161,1584,0,0,0,0,
no_contradiction_agent,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2736,3599,14,3599,1357,0,0,0,0,
no_contradiction_agent,AGT/AGT037^2.p,TH0,Theorem,unk,na,333,75,7,75,2,0,0,0,0,
no_contradiction_agent,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2870,4476,14,4476,1708,0,0,0,0,
no_contradiction_agent,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2776,3798,14,3798,1437,0,0,0,0,
no_contradiction_agent,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2785,3797,14,3797,1437,0,0,0,0,
no_contradiction_agent,AGT/AGT041^1.p,TH0,Theorem,unk,na,460,140,14,140,1,0,0,0,0,
no_contradiction_agent,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2060,1349,26,1349,173,34,0,0,0,
no_contradiction_agent,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2884,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6968,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4151,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2902,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2156,460,29,460,29,0,0,0,0,
no_contradiction_agent,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2398,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3254,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3266,0,0,0,1,0,0,0,0,
no_contradiction_agent,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,905,,,,,,,,,
no_contradiction_agent,ALG/ALG247^2.p,TH0,Theorem,unk,na,499,63,2,63,4,5,0,0,0,
no_contradiction_agent,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2360,722,14,722,259,0,0,0,0,
no_contradiction_agent,ALG/ALG248^2.p,TH0,CounterSatisfiable,unk,na,316,22,2,22,2,0,0,0,0,
no_contradiction_agent,ALG/ALG248^3.p,TH0,Theorem,unk,na,314,30,1,30,3,2,0,0,0,
no_contradiction_agent,ALG/ALG249^3.p,TH0,Theorem,unk,na,344,45,2,45,6,1,0,0,0,
no_contradiction_agent,ALG/ALG250^3.p,TH0,Theorem,unk,na,316,31,1,31,5,1,0,0,0,
no_contradiction_agent,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2309,609,30,609,118,0,0,0,0,
no_contradiction_agent,ALG/ALG251^2.p,TH0,Theorem,timeout,na,2293,1565,115,1565,69,32,0,0,0,
no_contradiction_agent,ALG/ALG251^3.p,TH0,Theorem,timeout,na,2301,1851,108,1851,106,49,0,0,0,
no_contradiction_agent,ALG/ALG252^1.p,TH0,Theorem,timeout,na,2278,376,21,376,29,0,0,0,0,
no_contradiction_agent,ALG/ALG252^2.p,TH0,Theorem,timeout,na,2298,1339,99,1339,55,12,0,0,0,
no_contradiction_agent,ALG/ALG253^1.p,TH0,Theorem,timeout,na,2267,141,8,141,9,0,0,0,0,
no_contradiction_agent,ALG/ALG253^2.p,TH0,Theorem,timeout,na,2288,1046,48,1046,70,16,0,0,0,
no_contradiction_agent,ALG/ALG254^1.p,TH0,Theorem,thm,yes,484,2,0,2,1,1,0,0,0,
no_contradiction_agent,ALG/ALG254^2.p,TH0,Theorem,thm,yes,265,2,0,2,1,1,0,0,0,
no_contradiction_agent,ALG/ALG255^1.p,TH0,Theorem,thm,yes,560,2,0,2,1,1,0,0,0,
no_contradiction_agent,ALG/ALG256^1.p,TH0,Theorem,timeout,na,2260,20,2,20,1,0,0,0,0,
no_contradiction_agent,ALG/ALG256^2.p,TH0,Theorem,unk,na,305,42,1,42,5,1,0,0,0,
no_contradiction_agent,ALG/ALG257^1.p,TH0,Theorem,timeout,na,2263,17,1,17,1,0,0,0,0,
no_contradiction_agent,ALG/ALG257^2.p,TH0,Theorem,timeout,na,2366,2909,71,2909,437,36,0,0,0,
no_contradiction_agent,ALG/ALG258^1.p,TH0,Theorem,timeout,na,2265,17,1,17,1,0,0,0,0,
no_contradiction_agent,ALG/ALG258^2.p,TH0,Theorem,timeout,na,2324,2440,132,2440,158,44,0,0,0,
no_contradiction_agent,ALG/ALG259^1.p,TH0,Theorem,timeout,na,2266,13,1,13,1,0,0,0,0,
no_contradiction_agent,ALG/ALG259^2.p,TH0,Theorem,unk,na,396,114,4,114,8,4,0,0,0,
