run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_demodulation,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2147,603,23,603,66,0,0,1,0,
no_demodulation,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2151,1274,17,1274,147,0,0,0,0,
no_demodulation,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2259,766,45,766,70,0,0,1,0,
no_demodulation,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2416,4300,21,4300,394,0,0,0,0,
no_demodulation,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2240,890,58,890,64,0,0,1,0,
no_demodulation,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2299,907,50,907,104,0,0,0,0,
no_demodulation,AGT/AGT031^1.p,TH0,Theorem,timeout,na,3137,6025,14,6025,420,0,0,0,0,
no_demodulation,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2576,5183,42,5183,346,0,0,0,0,
no_demodulation,AGT/AGT032^1.p,TH0,Theorem,timeout,na,3115,5911,14,5911,435,0,0,0,0,
no_demodulation,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2513,4795,39,4795,326,0,0,0,0,
no_demodulation,AGT/AGT033^1.p,TH0,Theorem,timeout,na,3111,5842,14,5842,426,0,0,0,0,
no_demodulation,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2664,5023,7,5023,248,0,0,0,0,
no_demodulation,AGT/AGT034^1.p,TH0,Theorem,timeout,na,3127,6080,14,6080,411,0,0,0,0,
no_demodulation,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2680,5206,7,5206,290,0,0,0,0,
no_demodulation,AGT/AGT035^1.p,TH0,Theorem,timeout,na,3123,6090,14,6090,419,0,0,0,0,
no_demodulation,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2511,5157,37,5157,323,0,0,0,0,
no_demodulation,AGT/AGT036^1.p,TH0,Theorem,timeout,na,3108,5983,14,5983,434,0,0,0,0,
no_demodulation,AGT/AGT037^1.p,TH0,Theorem,timeout,na,3108,5999,14,5999,424,0,0,0,0,
no_demodulation,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2490,5115,40,5115,322,0,0,0,0,
no_demodulation,AGT/AGT038^1.p,TH0,Theorem,timeout,na,3107,5963,14,5963,418,0,0,0,0,
no_demodulation,AGT/AGT039^1.p,TH0,Theorem,timeout,na,3111,5955,14,5955,428,0,0,0,0,
no_demodulation,AGT/AGT040^1.p,TH0,Theorem,timeout,na,3119,5997,14,5997,423,0,0,0,0,
no_demodulation,AGT/AGT041^1.p,TH0,Theorem,timeout,na,3189,6446,14,6446,295,0,0,0,0,
no_demodulation,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2042,1411,58,1411,136,16,0,2,0,
no_demodulation,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2901,479,37,479,21,0,0,0,0,
no_demodulation,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6614,0,0,0,1,0,0,0,0,
no_demodulation,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4130,0,0,0,1,0,0,0,0,
no_demodulation,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2917,461,31,461,22,0,0,0,0,
no_demodulation,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2157,469,31,469,30,0,0,0,0,
no_demodulation,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2425,729,57,729,30,0,0,0,0,
no_demodulation,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3284,663,51,663,23,0,0,0,0,
no_demodulation,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3274,626,48,626,24,0,0,0,0,
no_demodulation,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,894,,,,,,,,,
no_demodulation,ALG/ALG247^2.p,TH0,Theorem,thm,yes,385,24,0,24,3,1,0,1,1,
no_demodulation,ALG/ALG248^1.p,TH0,Theorem,timeout,na,2387,970,20,970,235,64,0,1,0,
no_demodulation,ALG/ALG248^2.p,TH0,CounterSatisfiable,timeout,na,2310,1968,124,1968,97,64,0,2,0,
no_demodulation,ALG/ALG248^3.p,TH0,Theorem,timeout,na,2352,2525,36,2525,328,6,0,1,0,
no_demodulation,ALG/ALG249^3.p,TH0,Theorem,timeout,na,2341,2174,81,2174,221,45,0,5,0,
no_demodulation,ALG/ALG250^3.p,TH0,Theorem,thm,yes,318,43,1,43,5,3,0,1,1,
no_demodulation,ALG/ALG251^1.p,TH0,Theorem,timeout,na,2298,560,23,560,77,0,0,1,0,
no_demodulation,ALG/ALG251^2.p,TH0,Theorem,timeout,na,2301,1492,101,1492,42,45,0,2,0,
no_demodulation,ALG/ALG251^3.p,TH0,Theorem,timeout,na,2300,1567,93,1567,97,33,0,1,0,
no_demodulation,ALG/ALG252^1.p,TH0,Theorem,timeout,na,2280,346,20,346,26,0,0,2,0,
no_demodulation,ALG/ALG252^2.p,TH0,Theorem,timeout,na,2296,1220,87,1220,55,0,0,2,0,
no_demodulation,ALG/ALG253^1.p,TH0,Theorem,timeout,na,2265,89,8,89,2,0,0,1,0,
no_demodulation,ALG/ALG253^2.p,TH0,Theorem,timeout,na,2285,1025,46,1025,77,15,0,1,0,
no_demodulation,ALG/ALG254^1.p,TH0,Theorem,thm,yes,491,2,0,2,1,1,0,0,0,
no_demodulation,ALG/ALG254^2.p,TH0,Theorem,thm,yes,269,2,0,2,1,1,0,0,0,
no_demodulation,ALG/ALG255^1.p,TH0,Theorem,thm,yes,581,2,0,2,1,1,0,0,0,
no_demodulation,ALG/ALG256^1.p,TH0,Theorem,timeout,na,2265,19,1,19,1,0,0,0,0,
no_demodulation,ALG/ALG256^2.p,TH0,Theorem,timeout,na,2334,2247,82,2247,280,16,0,1,0,
no_demodulation,ALG/ALG257^1.p,TH0,Theorem,timeout,na,2261,17,1,17,1,0,0,0,0,
no_demodulation,ALG/ALG257^2.p,TH0,Theorem,timeout,na,2321,1940,66,1940,230,23,0,1,0,
no_demodulation,ALG/ALG258^1.p,TH0,Theorem,timeout,na,2263,23,2,23,1,0,0,0,0,
no_demodulation,ALG/ALG258^2.p,TH0,Theorem,timeout,na,2335,2152,75,2152,190,51,0,2,0,
no_demodulation,ALG/ALG259^1.p,TH0,Theorem,timeout,na,2267,13,1,13,1,0,0,0,0,
no_demodulation,ALG/ALG259^2.p,TH0,Theorem,timeout,na,2304,1694,82,1694,115,7,0,4,0,
no_demodulation,ALG/ALG260^1.p,TH0,Theorem,timeout,na,2272,13,1,13,1,0,0,0,0,
