run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_finite_o_quantification,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2136,654,32,654,68,0,0,1,0,
no_finite_o_quantification,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2140,1202,25,1202,134,0,0,0,0,
no_finite_o_quantification,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2255,787,48,787,71,0,0,1,0,
no_finite_o_quantification,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2429,4465,25,4465,409,0,0,0,0,
no_finite_o_quantification,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2252,815,48,815,70,0,0,1,0,
no_finite_o_quantification,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2280,909,46,909,104,0,0,0,0,
no_finite_o_quantification,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2757,3596,14,3596,359,0,0,0,0,
no_finite_o_quantification,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2468,4584,39,4584,338,0,0,0,0,
no_finite_o_quantification,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2801,4058,16,4058,1519,0,0,1,0,
no_finite_o_quantification,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2423,4347,44,4347,289,0,0,0,0,
no_finite_o_quantification,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2835,4203,14,4203,381,0,0,0,0,
no_finite_o_quantification,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2363,4112,55,4112,297,0,0,0,0,
no_finite_o_quantification,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2895,4591,14,4591,380,0,0,0,0,
no_finite_o_quantification,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2325,4119,84,4119,332,0,0,0,0,
no_finite_o_quantification,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2660,3102,14,3102,1157,0,0,4,0,
no_finite_o_quantification,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2292,3554,87,3554,793,0,0,5,0,
no_finite_o_quantification,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2728,3570,14,3570,1345,0,0,2,0,
no_finite_o_quantification,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2833,4273,14,4273,355,0,0,0,0,
no_finite_o_quantification,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2368,3520,56,3520,277,0,0,0,0,
no_finite_o_quantification,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2813,4301,14,4301,287,0,0,0,0,
no_finite_o_quantification,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2775,3907,14,3907,384,0,0,0,0,
no_finite_o_quantification,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2933,4870,14,4870,403,0,0,0,0,
no_finite_o_quantification,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2787,3828,14,3828,370,0,0,0,0,
no_finite_o_quantification,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2046,1377,43,1377,156,15,0,2,0,
no_finite_o_quantification,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2883,0,0,0,1,0,0,0,0,
no_finite_o_quantification,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6792,0,0,0,1,0,0,0,0,
no_finite_o_quantification,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4086,0,0,0,1,0,0,0,0,
