run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_instance_based_gamma,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2151,603,22,603,68,0,0,1,0,
no_instance_based_gamma,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2146,1187,25,1187,130,0,0,0,0,
no_instance_based_gamma,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2260,767,41,767,70,0,0,1,0,
no_instance_based_gamma,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2440,4551,16,4551,407,0,0,0,0,
no_instance_based_gamma,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2256,803,46,803,69,0,0,1,0,
no_instance_based_gamma,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2287,887,46,887,102,0,0,0,0,
no_instance_based_gamma,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2808,3951,14,3951,378,0,0,0,0,
no_instance_based_gamma,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2537,3300,7,3300,254,0,0,0,0,
no_instance_based_gamma,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2666,3121,16,3121,1127,0,0,4,0,
no_instance_based_gamma,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2348,3972,49,3972,960,0,0,1,0,
no_instance_based_gamma,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2777,3807,14,3807,372,0,0,0,0,
no_instance_based_gamma,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2322,3752,73,3752,307,0,0,0,0,
no_instance_based_gamma,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2732,3596,14,3596,272,0,0,0,0,
no_instance_based_gamma,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2296,3207,54,3207,272,0,0,0,0,
no_instance_based_gamma,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2852,4358,14,4358,1661,0,0,1,0,
no_instance_based_gamma,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2300,3720,59,3720,794,0,0,5,0,
no_instance_based_gamma,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2701,3497,14,3497,1303,0,0,2,0,
no_instance_based_gamma,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2846,4459,14,4459,359,0,0,0,0,
no_instance_based_gamma,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2370,3750,57,3750,291,0,0,0,0,
no_instance_based_gamma,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2775,3825,14,3825,355,0,0,0,0,
no_instance_based_gamma,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2881,4483,14,4484,378,0,0,0,0,
no_instance_based_gamma,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2817,4094,14,4094,374,0,0,0,0,
no_instance_based_gamma,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2779,3883,14,3883,343,0,0,0,0,
no_instance_based_gamma,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2044,1341,52,1341,123,11,0,2,0,
no_instance_based_gamma,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2879,0,0,0,1,0,0,0,0,
no_instance_based_gamma,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6924,0,0,0,1,0,0,0,0,
no_instance_based_gamma,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4123,0,0,0,1,0,0,0,0,
no_instance_based_gamma,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2869,0,0,0,1,0,0,0,0,
no_instance_based_gamma,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2154,482,32,482,30,0,0,0,0,
no_instance_based_gamma,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2406,0,0,0,1,0,0,0,0,
