run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
no_iterative_deepening,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2139,641,31,641,64,0,0,1,0,
no_iterative_deepening,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2164,1435,20,1435,138,0,0,0,0,
no_iterative_deepening,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2256,770,47,770,68,0,0,1,0,
no_iterative_deepening,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2443,4635,19,4635,481,0,0,0,0,
no_iterative_deepening,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2244,804,48,804,71,0,0,1,0,
no_iterative_deepening,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2287,904,50,904,101,0,0,0,0,
no_iterative_deepening,AGT/AGT031^1.p,TH0,Theorem,timeout,na,3035,5406,14,5406,400,0,0,0,0,
no_iterative_deepening,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2379,4267,74,4267,331,0,0,0,0,
no_iterative_deepening,AGT/AGT032^1.p,TH0,Theorem,timeout,na,3013,5500,14,5500,359,0,0,0,0,
no_iterative_deepening,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2398,4150,43,4150,284,0,0,0,0,
no_iterative_deepening,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2910,4627,14,4627,378,0,0,0,0,
no_iterative_deepening,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2421,3672,24,3672,292,0,0,0,0,
no_iterative_deepening,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2834,4247,14,4247,397,0,0,0,0,
no_iterative_deepening,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2425,4106,43,4106,319,0,0,0,0,
no_iterative_deepening,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2731,3559,14,3559,1340,0,0,4,0,
no_iterative_deepening,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2242,3476,71,3476,597,0,0,5,0,
no_iterative_deepening,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2796,4080,14,4080,1550,0,0,2,0,
no_iterative_deepening,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2806,4136,14,4136,383,0,0,0,0,
no_iterative_deepening,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2414,3627,26,3627,290,0,0,0,0,
no_iterative_deepening,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2720,3454,14,3454,350,0,0,0,0,
no_iterative_deepening,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2835,4268,14,4268,371,0,0,0,0,
no_iterative_deepening,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2759,3681,14,3681,369,0,0,0,0,
no_iterative_deepening,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2789,4144,14,4144,269,0,0,0,0,
