run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
prim_batch_16,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2134,610,23,610,68,0,0,1,0,
prim_batch_16,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2165,1434,15,1434,154,0,0,0,0,
prim_batch_16,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2257,761,42,761,70,0,0,1,0,
prim_batch_16,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2371,3691,16,3691,390,0,0,0,0,
prim_batch_16,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2242,776,43,776,69,0,0,1,0,
prim_batch_16,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2287,923,50,923,99,0,0,0,0,
prim_batch_16,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2975,4977,14,4977,395,0,0,0,0,
prim_batch_16,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2405,3473,23,3473,291,0,0,0,0,
prim_batch_16,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2808,3971,15,3971,1484,0,0,4,0,
prim_batch_16,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2326,3890,58,3890,824,0,0,5,0,
prim_batch_16,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2887,4507,14,4507,357,0,0,0,0,
prim_batch_16,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2325,3824,69,3824,290,0,0,0,0,
prim_batch_16,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2741,3652,14,3652,296,0,0,0,0,
prim_batch_16,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2556,3690,7,3690,273,0,0,0,0,
prim_batch_16,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2836,4410,14,4410,1670,0,0,1,0,
prim_batch_16,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2377,4149,36,4149,1146,0,0,5,0,
prim_batch_16,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2895,4613,14,4613,375,0,0,0,0,
prim_batch_16,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2923,4824,14,4825,424,0,0,0,0,
prim_batch_16,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2222,3317,89,3317,280,0,0,0,0,
prim_batch_16,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2940,4864,14,4864,400,0,0,0,0,
prim_batch_16,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2895,4586,14,4586,381,0,0,0,0,
prim_batch_16,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2755,3702,14,3702,359,0,0,0,0,
prim_batch_16,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2877,4531,14,4531,417,0,0,0,0,
