run_label,problem,language,expected_szs,result,correct,time_ms,steps,worker_yields,rules_total,active_branches_max,branches_closed,branches_saturated,csp_calls,csp_succeeded,details
serial,AGT/AGT027^1.p,TH0,Theorem,timeout,na,2105,268,18,268,16,0,0,1,0,
serial,AGT/AGT027^2.p,TH0,Theorem,timeout,na,2065,190,12,190,11,0,0,0,0,
serial,AGT/AGT028^1.p,TH0,Theorem,timeout,na,2202,446,32,446,40,0,0,0,0,
serial,AGT/AGT028^2.p,TH0,Theorem,timeout,na,2177,1016,8,1016,313,0,0,0,0,
serial,AGT/AGT029^1.p,TH0,Theorem,timeout,na,2203,458,31,458,40,0,0,1,0,
serial,AGT/AGT030^1.p,TH0,Theorem,timeout,na,2229,520,31,520,72,0,0,0,0,
serial,AGT/AGT031^1.p,TH0,Theorem,timeout,na,2284,1333,14,1333,453,0,0,0,0,
serial,AGT/AGT031^2.p,TH0,Theorem,timeout,na,2182,1010,7,1010,420,0,0,0,0,
serial,AGT/AGT032^1.p,TH0,Theorem,timeout,na,2227,1073,15,1073,326,0,0,4,0,
serial,AGT/AGT032^2.p,TH0,Theorem,timeout,na,2188,1069,7,1069,450,0,0,0,0,
serial,AGT/AGT033^1.p,TH0,Theorem,timeout,na,2263,1222,14,1222,414,0,0,0,0,
serial,AGT/AGT033^2.p,TH0,Theorem,timeout,na,2177,928,7,928,379,0,0,0,0,
serial,AGT/AGT034^1.p,TH0,Theorem,timeout,na,2240,1086,14,1086,360,0,0,0,0,
serial,AGT/AGT034^2.p,TH0,Theorem,timeout,na,2130,1042,7,1042,223,0,0,0,0,
serial,AGT/AGT035^1.p,TH0,Theorem,timeout,na,2234,1071,14,1071,353,0,0,4,0,
serial,AGT/AGT035^2.p,TH0,Theorem,timeout,na,2151,808,7,808,319,0,0,5,0,
serial,AGT/AGT036^1.p,TH0,Theorem,timeout,na,2245,1082,14,1082,360,0,0,0,0,
serial,AGT/AGT037^1.p,TH0,Theorem,timeout,na,2251,1136,14,1136,380,0,0,0,0,
serial,AGT/AGT037^2.p,TH0,Theorem,timeout,na,2139,936,7,936,300,0,0,0,0,
serial,AGT/AGT038^1.p,TH0,Theorem,timeout,na,2262,1241,14,1241,422,0,0,0,0,
serial,AGT/AGT039^1.p,TH0,Theorem,timeout,na,2262,1236,14,1236,420,0,0,0,0,
serial,AGT/AGT040^1.p,TH0,Theorem,timeout,na,2248,1129,14,1129,377,0,0,0,0,
serial,AGT/AGT041^1.p,TH0,Theorem,timeout,na,2274,1293,14,1293,439,0,0,0,0,
serial,ALG/ALG001^5.p,TH0,Theorem,timeout,na,2017,450,24,450,39,7,0,1,0,
serial,ALG/ALG014^7.p,TH0,Theorem,timeout,na,2859,0,0,0,1,0,0,0,0,
serial,ALG/ALG015^7.p,TH0,Theorem,timeout,na,6816,0,0,0,1,0,0,0,0,
serial,ALG/ALG016^7.p,TH0,Theorem,timeout,na,4105,0,0,0,1,0,0,0,0,
serial,ALG/ALG017^7.p,TH0,Theorem,timeout,na,2897,0,0,0,1,0,0,0,0,
serial,ALG/ALG018^7.p,TH0,Theorem,timeout,na,2145,249,16,249,18,0,0,0,0,
serial,ALG/ALG020^7.p,TH0,Theorem,timeout,na,2397,0,0,0,1,0,0,0,0,
serial,ALG/ALG021^7.p,TH0,Theorem,timeout,na,3240,0,0,0,1,0,0,0,0,
serial,ALG/ALG022^7.p,TH0,Theorem,timeout,na,3238,0,0,0,1,0,0,0,0,
serial,ALG/ALG023^7.p,TH0,Unsatisfiable,no_conjecture,na,898,,,,,,,,,
serial,ALG/ALG247^2.p,TH0,Theorem,thm,yes,450,25,1,25,2,1,0,1,1,
