label,problem,rep,order,result,time_ms,steps,active_branches_max,branches_split,branches_closed,csp_calls,csp_succeeded,csp_failed,csp_skipped,csp_inflight_suppressed,csp_duration_sum_us,csp_duration_max_us,csp_branches_avg,csp_max_domain_avg,csp_candidates_avg,details
probe_serial,AGT/AGT027^1.p,1,1,timeout,2132,304,17,32,0,1,0,1,3,32,1441649,1441649,3.00,12.00,33.00,
probe_auto,AGT/AGT027^1.p,1,2,timeout,2078,1096,157,312,0,1,0,1,12,303,1688238,1688238,5.00,24.00,90.00,
probe_auto,AGT/AGT027^1.p,2,1,timeout,2077,1124,126,250,0,1,0,1,8,269,1691148,1691148,4.00,24.00,68.00,
probe_serial,AGT/AGT027^1.p,2,2,timeout,2009,321,19,36,0,1,0,0,3,35,0,0,3.00,12.00,33.00,
probe_serial,AGT/AGT027^1.p,3,1,timeout,2009,329,19,36,0,1,0,0,3,35,0,0,3.00,12.00,33.00,
probe_auto,AGT/AGT027^1.p,3,2,timeout,2102,1157,170,338,0,1,0,0,7,332,0,0,4.00,22.00,66.00,
probe_auto,AGT/AGT028^1.p,1,1,timeout,2117,1153,105,208,0,1,0,0,121,114,0,0,66.00,38.00,1439.00,
probe_serial,AGT/AGT028^1.p,1,2,timeout,2031,458,40,78,0,0,0,0,48,0,0,0,0,0,0,
probe_serial,AGT/AGT028^1.p,2,1,timeout,2033,457,41,80,0,0,0,0,49,0,0,0,0,0,0,
probe_auto,AGT/AGT028^1.p,2,2,timeout,2117,1132,102,202,0,1,0,1,68,158,748331,748331,49.00,24.00,640.00,
probe_auto,AGT/AGT028^1.p,3,1,timeout,2133,1303,122,242,0,1,0,0,130,152,0,0,71.00,38.00,1622.00,
probe_serial,AGT/AGT028^1.p,3,2,timeout,2030,476,41,80,0,0,0,0,49,0,0,0,0,0,0,
probe_serial,AGT/AGT029^1.p,1,1,timeout,2030,467,40,78,0,0,0,0,50,0,0,0,0,0,0,
probe_auto,AGT/AGT029^1.p,1,2,timeout,2129,1258,117,232,0,1,0,0,92,181,0,0,58.00,27.00,1014.00,
probe_auto,AGT/AGT029^1.p,2,1,timeout,2142,1294,126,250,0,1,0,0,93,211,0,0,56.00,32.00,917.00,
probe_serial,AGT/AGT029^1.p,2,2,timeout,2033,467,40,78,0,0,0,0,54,0,0,0,0,0,0,
probe_serial,AGT/AGT029^1.p,3,1,timeout,2031,468,40,78,0,1,0,0,48,1,0,0,39.00,17.00,287.00,
probe_auto,AGT/AGT029^1.p,3,2,timeout,2161,1350,129,256,0,1,0,0,97,213,0,0,58.00,27.00,1003.00,
probe_auto,AGT/AGT030^1.p,1,1,timeout,2184,1370,160,318,0,1,0,0,253,84,0,0,130.00,38.00,2552.00,
probe_serial,AGT/AGT030^1.p,1,2,timeout,2061,512,72,142,0,0,0,0,104,0,0,0,0,0,0,
probe_serial,AGT/AGT030^1.p,2,1,timeout,2056,520,72,142,0,0,0,0,90,0,0,0,0,0,0,
probe_auto,AGT/AGT030^1.p,2,2,timeout,2158,1413,160,318,0,1,0,1,247,94,296062,296062,128.00,38.00,2430.00,
probe_auto,AGT/AGT030^1.p,3,1,timeout,2170,1425,157,312,0,1,0,0,241,85,0,0,129.00,36.00,2599.00,
probe_serial,AGT/AGT030^1.p,3,2,timeout,2056,508,71,140,0,0,0,0,88,0,0,0,0,0,0,
probe_serial,AGT/AGT032^1.p,1,1,timeout,2226,1133,365,728,0,2,0,2,6,804,1565592,1518722,9.00,6.00,45.00,
probe_auto,AGT/AGT032^1.p,1,2,timeout,4616,8151,3150,6304,0,1,0,1,41,7279,1598469,1598469,19.00,16.00,172.00,
probe_auto,AGT/AGT032^1.p,2,1,timeout,4487,8298,3212,6428,0,1,0,1,36,7400,1564037,1564037,18.00,14.00,146.00,
probe_serial,AGT/AGT032^1.p,2,2,timeout,2236,1192,388,774,0,2,0,2,6,845,1558037,1505084,10.00,7.00,55.00,
probe_serial,AGT/AGT032^1.p,3,1,timeout,2255,1272,415,828,0,4,0,4,3,908,1607379,1381787,18.25,9.50,219.50,
probe_auto,AGT/AGT032^1.p,3,2,timeout,4273,7014,2679,5356,0,4,0,3,2,6218,39731,36708,12.00,9.50,159.50,
probe_auto,AGT/AGT035^1.p,1,1,timeout,4283,7490,2909,5820,0,4,0,4,2,6528,1579316,1545630,15.75,8.50,148.00,
probe_serial,AGT/AGT035^1.p,1,2,timeout,2246,1194,403,804,0,0,0,0,789,0,0,0,0,0,0,
probe_serial,AGT/AGT035^1.p,2,1,timeout,2271,1226,415,828,0,5,0,4,3,846,1051460,1034165,58.60,11.20,1084.00,
probe_auto,AGT/AGT035^1.p,2,2,timeout,4120,6235,2404,4812,0,4,0,3,4,5352,98496,95729,42.75,13.50,877.50,
probe_auto,AGT/AGT035^1.p,3,1,timeout,3962,6628,2561,5124,0,4,0,4,2,5729,1544728,1523655,7.00,7.00,50.50,
